id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-LEX-0152,B2,Lèxic,test,Tria l’equivalent més adequat.,estalviar,endevinar,baixar,gastar,A,Ahorrar en valencià és estalviar.,Material original
B2-LEX-0153,B2,Lèxic,test,Tria l’equivalent més adequat.,cantonada,vorera,acera,andana,B,Acera és vorera.,Material original
B2-LEX-0154,B2,Lèxic,test,Tria l’equivalent més adequat.,bústia,segell,buzó,caixó,A,Buzón és bústia.,Material original
B2-LEX-0155,B2,Lèxic,test,Tria l’equivalent més adequat.,sobre,segell,timbre,sello,B,Sello és segell.,Material original
B2-LEX-0156,B2,Lèxic,test,Tria l’equivalent més adequat.,lloguer,loguer,llogaret,alquiler,A,Alquiler és lloguer.,Material original
B2-LEX-0157,B2,Lèxic,test,Tria l’equivalent més adequat.,pols,fem,basura,brutícia només,B,Basura és fem.,Material original
B2-LEX-0158,B2,Lèxic,test,Tria l’equivalent més adequat.,caminador,vianant,veí,peató,B,Peatón és vianant.,Material original
B2-LEX-0159,B2,Lèxic,test,Tria l’equivalent més adequat.,aparcació,parking,parcatge,aparcament,D,Aparcamiento és aparcament.,Material original
B2-LEX-0160,B2,Lèxic,test,Tria l’equivalent més adequat.,mida,tamany,tamaño,grandària sempre,A,Tamaño és mida; tamany és castellanisme en molts contextos.,Material original
B2-LEX-0161,B2,Lèxic,test,Tria l’equivalent més adequat.,data,datació sempre,fecha,fetxa,A,Fecha és data.,Material original
B2-LEX-0162,B2,Lèxic,test,Tria l’equivalent més adequat.,èxit,exit,succés sempre,éxit,A,Éxito és èxit.,Material original
B2-LEX-0163,B2,Lèxic,test,Tria l’equivalent més adequat.,retraso,tardança sempre,atràs,retard,D,Retraso és retard.,Material original
B2-LEX-0164,B2,Lèxic,test,Tria l’equivalent més adequat.,aïna,eina,herramienta,instrument sempre,B,Herramienta és eina.,Material original
B2-LEX-0165,B2,Lèxic,test,Tria l’equivalent més adequat.,tarea,taula,tasca,faena només col·loquial,C,Tarea és tasca; faena també pot ser treball.,Material original
B2-LEX-0166,B2,Lèxic,test,Tria l’equivalent més adequat.,enchufe,clavilla sempre,endoll,enxufe,C,Enchufe és endoll.,Material original
B2-LEX-0167,B2,Lèxic,test,Tria l’equivalent més adequat.,vidre,espill exclusiu,espejo,mirall,D,Espejo és mirall o espill; ací l’opció normativa és mirall.,Material original
B2-LEX-0168,B2,Lèxic,test,Tria l’equivalent més adequat.,cartel,rètol sempre,cartell,cartó,C,Cartel és cartell/rètol segons context.,Material original
B2-LEX-0169,B2,Lèxic,test,Tria l’equivalent més adequat.,servei,serves,servicio,servici únicament,A,"Servicio és servei; servici també és valencià, però servei és estàndard general.",Material original
