id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-VOC-0345,B2,Vocabulari temàtic,test,Com diries “silla” en valencià?,poma,espill,cadira,matí,C,“silla” correspon a “cadira”.,Material original
B2-VOC-0346,B2,Vocabulari temàtic,test,Com diries “mesa” en valencià?,forqueta,vesprada,faena,taula,D,“mesa” correspon a “taula”.,Material original
B2-VOC-0347,B2,Vocabulari temàtic,test,Com diries “ventana” en valencià?,taula,finestra,germà,espill,B,“ventana” correspon a “finestra”.,Material original
B2-VOC-0348,B2,Vocabulari temàtic,test,Com diries “cuchillo” en valencià?,poma,vesprada,ganivet,pluja,C,“cuchillo” correspon a “ganivet”.,Material original
B2-VOC-0349,B2,Vocabulari temàtic,test,Com diries “cuchara” en valencià?,taula,ganivet,espill,cullera,D,“cuchara” correspon a “cullera”.,Material original
B2-VOC-0350,B2,Vocabulari temàtic,test,Com diries “tenedor” en valencià?,forqueta,vesprada,pluja,xiquet,A,“tenedor” correspon a “forqueta”.,Material original
B2-VOC-0351,B2,Vocabulari temàtic,test,Com diries “manzana” en valencià?,iaio,dacsa,poma,espill,C,“manzana” correspon a “poma”.,Material original
B2-VOC-0352,B2,Vocabulari temàtic,test,Com diries “zanahoria” en valencià?,iaio,faena,carlota,cadira,C,“zanahoria” correspon a “carlota”.,Material original
B2-VOC-0353,B2,Vocabulari temàtic,test,Com diries “maíz” en valencià?,espill,creïlla,xiquet,dacsa,D,“maíz” correspon a “dacsa”.,Material original
B2-VOC-0354,B2,Vocabulari temàtic,test,Com diries “patata” en valencià?,creïlla,forqueta,cadira,iaio,A,“patata” correspon a “creïlla”.,Material original
B2-VOC-0355,B2,Vocabulari temàtic,test,Com diries “tarde” en valencià?,pluja,germà,vesprada,carlota,C,“tarde” correspon a “vesprada”.,Material original
B2-VOC-0356,B2,Vocabulari temàtic,test,Com diries “mañana” en valencià?,espill,matí,vesprada,germà,B,“mañana” correspon a “matí”.,Material original
B2-VOC-0357,B2,Vocabulari temàtic,test,Com diries “tiempo meteorológico” en valencià?,oratge,ganivet,germà,cadira,A,“tiempo meteorológico” correspon a “oratge”.,Material original
B2-VOC-0358,B2,Vocabulari temàtic,test,Com diries “nube” en valencià?,núvol,pluja,faena,creïlla,A,“nube” correspon a “núvol”.,Material original
B2-VOC-0359,B2,Vocabulari temàtic,test,Com diries “lluvia” en valencià?,núvol,cadira,finestra,pluja,D,“lluvia” correspon a “pluja”.,Material original
B2-VOC-0360,B2,Vocabulari temàtic,test,Com diries “trabajo” en valencià?,taula,xiquet,faena,germà,C,“trabajo” correspon a “faena”.,Material original
B2-VOC-0361,B2,Vocabulari temàtic,test,Com diries “espejo” en valencià?,ganivet,espill,cadira,núvol,B,“espejo” correspon a “espill”.,Material original
B2-VOC-0362,B2,Vocabulari temàtic,test,Com diries “niño” en valencià?,oratge,xiquet,taula,pluja,B,“niño” correspon a “xiquet”.,Material original
B2-VOC-0363,B2,Vocabulari temàtic,test,Com diries “hermano” en valencià?,germà,poma,ganivet,oratge,A,“hermano” correspon a “germà”.,Material original
B2-VOC-0364,B2,Vocabulari temàtic,test,Com diries “abuelo” en valencià?,xiquet,oratge,iaio,poma,C,“abuelo” correspon a “iaio”.,Material original
