id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C1-VER-0103,C1,Verbs,test,"Si jo ___ més temps, acabaria el treball.",tindré,tinc,tinguera,tindria,C,Condicional hipotètica: imperfet de subjuntiu.,Material original
C1-VER-0104,C1,Verbs,test,"Si ell ___ vindre, ens ajudaria.",poguera,puga,puc,podria,A,Imperfet de subjuntiu: poguera.,Material original
C1-VER-0105,C1,Verbs,test,"Si tu ___ més exercici, et trobaries millor.",faig,faça,fera,faria,C,Imperfet de subjuntiu: fera.,Material original
C1-VER-0106,C1,Verbs,test,"Si ella ___ a la reunió, entendria el problema.",aniria,vaja,vaig,anara,D,Imperfet de subjuntiu: anara.,Material original
C1-VER-0107,C1,Verbs,test,"Si el tècnic ___ hui, ho revisaria.",vinguera,vindria,vinga,ve,A,Imperfet de subjuntiu: vinguera.,Material original
C1-VER-0108,C1,Verbs,test,És important que ell ___ puntual.,estiga,siga,fora,és,B,Present de subjuntiu del verb ser: siga.,Material original
C1-VER-0109,C1,Verbs,test,Cal que la porta ___ oberta.,està,estiguera,siga,estiga,D,Present de subjuntiu: estiga.,Material original
C1-VER-0110,C1,Verbs,test,No crec que ella ___ raó.,tinga,té,tinguera,tindrà,A,Present de subjuntiu: tinga.,Material original
C1-VER-0111,C1,Verbs,test,Espere que ell ___ vindre.,puga,podria,pot,poguera,A,Present de subjuntiu: puga.,Material original
C1-VER-0112,C1,Verbs,test,Et demane que ho ___ ara.,fera,faça,fa,faria,B,Present de subjuntiu: faça.,Material original
C1-VER-0113,C1,Verbs,test,Vol que jo ___ amb ell.,va,anirà,vaja,anara,C,Present de subjuntiu: vaja.,Material original
C1-VER-0114,C1,Verbs,test,És possible que Maria ___ demà.,vinguera,vinga,ve,vindrà,B,Present de subjuntiu: vinga.,Material original
C1-VER-0115,C1,Verbs,test,Demà ___ la sol·licitud.,tinc que presentar,he de presentar,hi ha que presentar,dec de presentar,B,Obligació: haver de + infinitiu.,Material original
C1-VER-0116,C1,Verbs,test,___ si vols aprovar.,tens que estudiar,deus de estudiar,hi ha que estudies,cal que estudies,D,Cal que + subjuntiu expressa necessitat.,Material original
C1-VER-0117,C1,Verbs,test,"Per l’hora que era, ___ tard.",devia ser,havia de que ser,deuria de ser,tenia que ser,A,Probabilitat en passat: devia ser.,Material original
C1-VER-0125,C1,Verbs,hueco,No crec que això ___ correcte.,,,,,siga,Subjuntiu de ser.,Material original
C1-VER-0126,C1,Verbs,hueco,"Quan ell ho ___, avisarem.",,,,,faça,Present de subjuntiu de fer.,Material original
C1-VER-0127,C1,Verbs,hueco,"Si ___ diners, compraria el llibre.",,,,,tinguera,Imperfet de subjuntiu.,Material original
C1-VER-0128,C1,Verbs,hueco,"Si nosaltres ___ eixir abans, arribaríem a temps.",,,,,poguérem,"Imperfet de subjuntiu, 1a persona plural.",Material original
