nivel,tema,preguntas
B2,Accentuació i dièresi,16
B2,Accentuació i ortografia,4
B2,Apostrofació i contraccions,3
B2,Comprensió escrita,6
B2,Correcció d’errades,12
B2,Expressió escrita,5
B2,Expressió oral,3
B2,Fraseologia,4
B2,Lèxic,18
B2,Ortografia,24
B2,Preposicions,2
B2,Pronoms febles,7
B2,Puntuació,3
B2,Registre i adequació,3
B2,Sintaxi i connectors,7
B2,Transformació de frases,3
B2,Verbs,12
B2,Vocabulari temàtic,20
C1,Accentuació i dièresi,22
C1,Accentuació i ortografia,5
C1,Apostrofació i contraccions,4
C1,Comprensió escrita,6
C1,Correcció d’errades,18
C1,Expressió escrita,7
C1,Expressió oral,4
C1,Fraseologia,5
C1,Lèxic,18
C1,Ortografia,24
C1,Preposicions,4
C1,Pronoms febles,11
C1,Puntuació,3
C1,Registre i adequació,3
C1,Sintaxi i connectors,9
C1,Transformació de frases,3
C1,Verbs,19
C1,Vocabulari temàtic,20
C2,Accentuació i dièresi,4
C2,Accentuació i ortografia,1
C2,Comprensió escrita,6
C2,Correcció d’errades,10
C2,Expressió escrita,4
C2,Expressió oral,2
C2,Fraseologia,3
C2,Lèxic,10
C2,Ortografia,8
C2,Preposicions,2
C2,Pronoms febles,4
C2,Puntuació,1
C2,Registre i adequació,3
C2,Sintaxi i connectors,4
C2,Transformació de frases,2
C2,Verbs,5
C2,Vocabulari temàtic,15
