id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-COR-0238,B2,Correcció d’errades,texto,Corregeix: “Tinc que estudiar per a l’examen”.,,,,,He d’estudiar per a l’examen.,Obligació: haver de + infinitiu.,Material original
B2-COR-0239,B2,Correcció d’errades,texto,Corregeix: “Hi han moltes persones a la sala”.,,,,,Hi ha moltes persones a la sala.,"En registre formal, hi ha és invariable.",Material original
B2-COR-0240,B2,Correcció d’errades,texto,Corregeix: “No m’he donat compte de l’error”.,,,,,No m’he adonat de l’error.,La forma genuïna és adonar-se.,Material original
B2-COR-0241,B2,Correcció d’errades,texto,Corregeix: “Demà vaig a estudiar valencià”.,,,,,Demà estudiaré valencià.,"Per a futur, usa futur simple: estudiaré.",Material original
B2-COR-0242,B2,Correcció d’errades,texto,Corregeix: “Porte dos anys treballant ací”.,,,,,Fa dos anys que treballe ací.,Construcció temporal: fa dos anys que...,Material original
B2-COR-0243,B2,Correcció d’errades,texto,Corregeix: “La reunió començarà sobre les nou” si vols dir hora exacta.,,,,,La reunió començarà a les nou.,Per hora concreta: a les nou.,Material original
B2-COR-0258,B2,Correcció d’errades,test,Corregeix: “Tinc que estudiar per a l’examen”.,Tinc que estudiar per a l’examen,He d’estudiar per a l’examen.,Tinc de estudiar per a l’examen.,Cap de les anteriors,B,Obligació: haver de + infinitiu.,Material original
B2-COR-0259,B2,Correcció d’errades,test,Corregeix: “Hi han moltes persones a la sala”.,Hi ha moltes persones a la sala.,Hi han moltes persones a la sala,La frase és correcta tal com està.,No cal cap canvi.,A,"En registre formal, hi ha és invariable.",Material original
B2-COR-0260,B2,Correcció d’errades,test,Corregeix: “No m’he donat compte de l’error”.,No m’he adonat de l’error.,No m’he donat compte de l’error,La frase és correcta tal com està.,No cal cap canvi.,A,La forma genuïna és adonar-se.,Material original
B2-COR-0261,B2,Correcció d’errades,test,Corregeix: “Demà vaig a estudiar valencià”.,Demà estudiaré valencià.,Demà vaig a estudiar valencià,La frase és correcta tal com està.,No cal cap canvi.,A,"Per a futur, usa futur simple: estudiaré.",Material original
B2-COR-0262,B2,Correcció d’errades,test,Corregeix: “Porte dos anys treballant ací”.,Fa dos anys que treballe ací.,Porte dos anys treballant ací,La frase és correcta tal com està.,No cal cap canvi.,A,Construcció temporal: fa dos anys que...,Material original
B2-COR-0263,B2,Correcció d’errades,test,Corregeix: “La reunió començarà sobre les nou” si vols dir hora exacta.,La reunió començarà a les nou.,La reunió començarà sobre les nou,La frase és correcta tal com està.,No cal cap canvi.,A,Per hora concreta: a les nou.,Material original
