id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-VER-0093,B2,Verbs,test,Jo ___ molta faena hui.,tindre,ting,tenc,tinc,D,Present d’indicatiu: jo tinc.,Material original
B2-VER-0095,B2,Verbs,test,Ella ___ cansada.,està,siga,esta,estava,A,Present d’indicatiu: ella està.,Material original
B2-VER-0096,B2,Verbs,test,Ahir ___ al mercat.,aní vaig,vaig a anar,vaig anar,he anat ahir,C,El passat perifràstic: vaig anar.,Material original
B2-VER-0097,B2,Verbs,test,Hui ___ arròs al forn.,menjat he,menjí,he menjat,ha menjat,C,Perfet: he + participi.,Material original
B2-VER-0098,B2,Verbs,test,Demà ___ prompte de casa.,isqué,eixiscé,eixiré,eixiria,C,Futur: eixiré.,Material original
B2-VER-0099,B2,Verbs,test,"Quan era menut, ___ a escola a peu.",anaré,vaig,aní,anava,D,Imperfet: anava.,Material original
B2-VER-0100,B2,Verbs,test,Cada estiu ___ al poble.,vinga,vingué,venia,vindria,C,Imperfet: venia.,Material original
B2-VER-0101,B2,Verbs,test,Jo ___ prop del centre.,viu jo,visc,visque,vixc,B,Present: jo visc.,Material original
B2-VER-0102,B2,Verbs,test,Jo ___ cada nit abans de dormir.,lligc,lligisc jo,llegisc,legeisc,C,Present: jo llegisc.,Material original
B2-VER-0122,B2,Verbs,hueco,Jo ___ comprar el pa ahir.,,,,,vaig,Passat perifràstic: vaig comprar.,Material original
B2-VER-0123,B2,Verbs,hueco,Nosaltres ___ acabat la faena.,,,,,hem,Perfet: hem acabat.,Material original
B2-VER-0124,B2,Verbs,hueco,Abans les classes ___ més llargues.,,,,,eren,Imperfet del verb ser.,Material original
