id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C1-PRO-0137,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Els he comprat tres.,Ho he comprat tres.,He comprat tres-ne.,N’he comprat tres.,D,Amb quantitat i de + nom: en.,Material original
C1-PRO-0138,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Vaig-hi cada estiu.,Hi vaig cada estiu.,En vaig cada estiu.,Ho vaig cada estiu.,B,Complement de lloc introduït per a/en: hi.,Material original
C1-PRO-0139,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,El sé perfectament.,En sé perfectament.,Ho sé perfectament.,Li sé perfectament.,C,Una oració o idea sencera se substitueix per ho.,Material original
C1-PRO-0140,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,No li parle mai.,No ho parle mai.,No en parle mai.,No el parle mai.,C,Parlar de + tema: en.,Material original
C1-PRO-0141,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Dona-la el rebut.,Dona’n el rebut.,Dona-ho el rebut.,Dona-li el rebut.,D,A ell/ella: li.,Material original
C1-PRO-0142,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Porta-ls demà.,Porta-les demà.,Els porta demà.,Porta’ls demà.,D,"Darrere imperatiu afirmatiu, pronom enclític: porta’ls.",Material original
C1-PRO-0143,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,No portes-los demà.,No porta’ls demà.,No els portes demà.,No les portes demà.,C,"En negació, el pronom va davant del verb.",Material original
C1-PRO-0144,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Vaig comprar dos-ne.,Vaig comprar-ne dos.,Vaig comprar-los dos.,Vaig comprar-ho dos.,B,Infinitiu + en: comprar-ne.,Material original
C1-PRO-0145,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Vull la veure.,Vull veure’n.,Vull veure-la.,Vull veure-li.,C,"Amb infinitiu, el pronom pot anar darrere: veure-la.",Material original
C1-PRO-0146,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Ho he vist a ell.,L’he vist.,Li he vist.,El he vist.,B,El pronom el s’apostrofa davant h: l’he.,Material original
C1-PRO-0147,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Ho m’he oblidat.,M’he oblidat d’això.,Me he n’oblidat.,Me n’he oblidat.,D,Oblidar-se de: en; combinació me n’.,Material original
