id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C2-LEX-0188,C2,Lèxic,test,Tria l’equivalent més adequat.,adecuado,escàs,escaient,escalent,C,Escaient vol dir adequat o oportú.,Material original
C2-LEX-0189,C2,Lèxic,test,Tria l’equivalent més adequat.,fefaent,feinaent,fehaciente,feacient,A,"Fefaent significa que fa fe, fiable.",Material original
C2-LEX-0190,C2,Lèxic,test,Tria l’equivalent més adequat.,disminuir,minvar,minimitzar sempre,minoritzar sempre,B,Minvar és disminuir.,Material original
C2-LEX-0191,C2,Lèxic,test,Tria l’equivalent més adequat.,biaixable sempre,esbiaixat,bessó,sesgado,B,Sesgado és esbiaixat.,Material original
C2-LEX-0192,C2,Lèxic,test,Tria l’equivalent més adequat.,abast,abasto,alcance,avanç,A,Alcance és abast.,Material original
C2-LEX-0193,C2,Lèxic,test,Tria l’equivalent més adequat.,aspecte físic,caire,cariz,cara sempre,B,"Caire vol dir aspecte, orientació.",Material original
C2-LEX-0194,C2,Lèxic,test,Tria l’equivalent més adequat.,reexit sense accent,reeixit,exitoso,eixit sempre,B,Reeixit significa que ha tingut èxit.,Material original
C2-LEX-0195,C2,Lèxic,test,Tria l’equivalent més adequat.,brecha,bretxa sempre,escletxa,esquerda sempre,C,Escletxa és una obertura o diferència.,Material original
C2-LEX-0196,C2,Lèxic,test,Tria l’equivalent més adequat.,esguard,guardar,guardó,mirada,A,Esguard és mirada.,Material original
C2-LEX-0197,C2,Lèxic,test,Tria l’equivalent més adequat.,rendir cuentas,retre compte,donar conte,rendir compte,B,Retre compte és locució formal.,Material original
