id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C2-VOC-0385,C2,Vocabulari temàtic,test,Com diries “umbral” en valencià?,esmenar,ultrapassar,esmerçar,llindar,D,“umbral” correspon a “llindar”.,Material original
C2-VOC-0386,C2,Vocabulari temàtic,test,Com diries “agravio” en valencià?,ultrapassar,greuge,escrutini,besllum,B,“agravio” correspon a “greuge”.,Material original
C2-VOC-0387,C2,Vocabulari temàtic,test,Com diries “talante” en valencià?,tarannà,reeixir,gairebé,escrutini,A,“talante” correspon a “tarannà”.,Material original
C2-VOC-0388,C2,Vocabulari temàtic,test,Com diries “examen minucioso” en valencià?,escrutini,esmerçar,cabdal,fretura,A,“examen minucioso” correspon a “escrutini”.,Material original
C2-VOC-0389,C2,Vocabulari temàtic,test,Com diries “poner de manifiesto” en valencià?,fretura,palesar,reeixir,defugir,B,“poner de manifiesto” correspon a “palesar”.,Material original
C2-VOC-0390,C2,Vocabulari temàtic,test,Com diries “tener éxito” en valencià?,esmerçar,reeixir,fretura,tarannà,B,“tener éxito” correspon a “reeixir”.,Material original
C2-VOC-0391,C2,Vocabulari temàtic,test,Com diries “atisbo” en valencià?,besllum,gairebé,ultrapassar,reeixir,A,“atisbo” correspon a “besllum”.,Material original
C2-VOC-0392,C2,Vocabulari temàtic,test,Com diries “capital/importante” en valencià?,esmenar,ultrapassar,cabdal,tarannà,C,“capital/importante” correspon a “cabdal”.,Material original
C2-VOC-0393,C2,Vocabulari temàtic,test,Com diries “necesidad o carencia” en valencià?,fretura,escrutini,palesar,tarannà,A,“necesidad o carencia” correspon a “fretura”.,Material original
C2-VOC-0394,C2,Vocabulari temàtic,test,Com diries “casi” en valencià?,gairebé,llindar,greuge,escrutini,A,“casi” correspon a “gairebé”.,Material original
C2-VOC-0395,C2,Vocabulari temàtic,test,Com diries “invertir esfuerzo o recursos” en valencià?,esmerçar,greuge,defugir,palesar,A,“invertir esfuerzo o recursos” correspon a “esmerçar”.,Material original
C2-VOC-0396,C2,Vocabulari temàtic,test,Com diries “consolidar” en valencià?,cabdal,afermar,esmenar,palesar,B,“consolidar” correspon a “afermar”.,Material original
C2-VOC-0397,C2,Vocabulari temàtic,test,Com diries “evitar” en valencià?,fretura,defugir,gairebé,greuge,B,“evitar” correspon a “defugir”.,Material original
C2-VOC-0398,C2,Vocabulari temàtic,test,Com diries “sobrepasar” en valencià?,cabdal,ultrapassar,tarannà,greuge,B,“sobrepasar” correspon a “ultrapassar”.,Material original
C2-VOC-0399,C2,Vocabulari temàtic,test,Com diries “corregir” en valencià?,esmenar,tarannà,fretura,cabdal,A,“corregir” correspon a “esmenar”.,Material original
