id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-PRE-0230,B2,Preposicions,test,He comprat una llibreta ___ l’examen.,para,perquè,per,per a,D,Finalitat/destinació: per a.,Material original
B2-VOC-0364,B2,Vocabulari temàtic,test,Com diries “abuelo” en valencià?,xiquet,oratge,iaio,poma,C,“abuelo” correspon a “iaio”.,Material original
B2-ORT-0047,B2,Ortografia,test,Quina opció està escrita correctament?,plaçà,plaza,plassa,plaça,D,Plaça porta ce trencada.,Material original
B2-PRO-0134,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,Ho telefone cada vesprada.,La telefone cada vesprada.,En telefone cada vesprada.,Li telefone cada vesprada.,D,"Telefonar a algú: complement indirecte, li.",Material original
B2-PRE-0231,B2,Preposicions,test,"Ho he fet ___ tu, perquè m’ho vas demanar.",para,a causa a,per a,per,D,Causa o beneficiari segons context: per.,Material original
B2-ACC-0007,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,peró,pèro,pero,però,D,Però porta accent obert en la o.,Material original
B2-ACC-0010,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,desprès,déspres,després,despres,C,Després porta accent tancat.,Material original
B2-VOC-0348,B2,Vocabulari temàtic,test,Com diries “cuchillo” en valencià?,poma,vesprada,ganivet,pluja,C,“cuchillo” correspon a “ganivet”.,Material original
B2-LEX-0167,B2,Lèxic,test,Tria l’equivalent més adequat.,vidre,espill exclusiu,espejo,mirall,D,Espejo és mirall o espill; ací l’opció normativa és mirall.,Material original
B2-ACC-0036,B2,Accentuació i dièresi,test,La paraula “camió” és...,plana,monosíl·laba,aguda,esdrúixola,C,Acaba en vocal i porta accent perquè és aguda.,Material original
B2-PRO-0130,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,El compre cada setmana.,Ho compre cada setmana.,En compre cada setmana.,Compre-lo cada setmana.,A,Substituïm “el pa” per el: El compre.,Material original
B2-FRA-0201,B2,Fraseologia,test,Tria la locució adequada.,tot seguit sempre,poc a poc,a més,de sobte,D,De repente és de sobte.,Material original
B2-ACC-0008,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,això,axò,aixo,aixó,A,Això porta accent obert en la o.,Material original
B2-LEX-0163,B2,Lèxic,test,Tria l’equivalent més adequat.,retraso,tardança sempre,atràs,retard,D,Retraso és retard.,Material original
B2-ORT-0055,B2,Ortografia,test,Quina opció està escrita correctament?,metxe,mege,metje,metge,D,Metge s’escriu amb tg.,Material original
B2-ACC-0005,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,telèfon,telèfón,teléfón,telefon,A,Telèfon porta accent obert en la e.,Material original
B2-ACC-0012,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,pèrque,perqué,perquè,perque,C,Perquè porta accent obert en valencià estàndard.,Material original
B2-LEX-0154,B2,Lèxic,test,Tria l’equivalent més adequat.,bústia,segell,buzó,caixó,A,Buzón és bústia.,Material original
B2-LEX-0152,B2,Lèxic,test,Tria l’equivalent més adequat.,estalviar,endevinar,baixar,gastar,A,Ahorrar en valencià és estalviar.,Material original
B2-ACC-0009,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,tambè,també,tambe,támbe,B,També porta accent tancat en la e.,Material original
B2-ORT-0058,B2,Ortografia,test,Quina opció està escrita correctament?,despats,despaig,despatx,despach,C,Despatx acaba en -tx.,Material original
B2-VOC-0354,B2,Vocabulari temàtic,test,Com diries “patata” en valencià?,creïlla,forqueta,cadira,iaio,A,“patata” correspon a “creïlla”.,Material original
B2-LEX-0169,B2,Lèxic,test,Tria l’equivalent més adequat.,servei,serves,servicio,servici únicament,A,"Servicio és servei; servici també és valencià, però servei és estàndard general.",Material original
B2-LEX-0153,B2,Lèxic,test,Tria l’equivalent més adequat.,cantonada,vorera,acera,andana,B,Acera és vorera.,Material original
B2-VOC-0358,B2,Vocabulari temàtic,test,Com diries “nube” en valencià?,núvol,pluja,faena,creïlla,A,“nube” correspon a “núvol”.,Material original
B2-FRA-0199,B2,Fraseologia,test,Tria la locució adequada.,de gom a gom,a mitges,a cegues,buit,A,Vol dir ple del tot.,Material original
B2-ACC-0039,B2,Accentuació i dièresi,test,"En “però”, l’accent és...",dièresi,diacrític desaparegut,obert,tancat,C,Però porta accent obert.,Material original
B2-ORT-0056,B2,Ortografia,test,Quina opció està escrita correctament?,platxa,placha,plaja,platja,D,Platja s’escriu amb tj.,Material original
B2-SIN-0215,B2,Sintaxi i connectors,test,"No és dilluns, ___ dimarts.",sino,si no,però que,sinó,D,Sinó expressa oposició excloent.,Material original
